Words,Count
host,94
tales,94
sudden,94
love,94
These,93
swift,93
desire,93
move,93
fields,93
Elendil,93
lies,93
free,93
Age,93
hair,92
enemies,92
slain,92
learned,92
dwelt,92
sure,92
tongue,91
counsel,90
kings,90
golden,90
myself,90
opened,90
companions,90
dim,90
singing,90
soft,90
hundred,89
getting,89
Many,89
doom,89
Bag,89
point,89
bed,89
moon,89
broke,88
O,88
straight,88
spring,88
hardly,88
kind,88
live,87
bowed,87
really,87
wizard,87
Go,87
guard,87
passing,87
language,87
care,87
vanished,86
neither,86
gathered,86
Their,86
mighty,86
appeared,86
arm,86
Elvish,86
outside,86
Or,85
forest,85
hall,85
knows,85
beginning,85
Rings,85
danger,85
try,85
narrow,85
second,85
cloak,85
softly,85
shining,85
mist,85
clouds,85
stopped,84
goes,84
gates,84
tower,84
safe,84
smoke,84
faces,84
slow,83
happened,83
borders,83
hours,83
horn,83
four,83
met,82
present,82
She,82
riding,82
empty,82
realm,82
Mountain,82
chief,82
suppose,81
steps,81
lying,81
watch,81
Rohirrim,81
speed,80
whole,80
Helm,80
precious,80
deal,80
inside,80
change,79
nearer,79
moved,79
Indeed,79
Forest,79
l,79
Though,79
Baggins,78
Shadowfax,78
ended,78
drink,78
nedain,78
Orthanc,77
Beregond,77
tried,77
crown,77
An,77
story,77
Is,77
walking,76
moving,76
city,76
seldom,76
tidings,76
Before,76
heads,76
Still,76
greater,76
lived,76
slopes,76
floor,76
Who,76
quiet,75
Only,75
opening,75
shape,75
guessed,75
doing,75
Dead,75
tired,75
noise,75
ears,75
window,74
dream,74
aware,74
cloud,74
Shadow,74
reach,74
whether,74
changed,74
read,73
orcs,73
cliff,72
mouth,72
From,72
sitting,72
ill,72
worse,72
room,72
Butterbur,72
Very,72
shone,72
early,71
westward,71
itself,71
nice,71
Tolkien,71
feeling,71
fast,70
wound,70
yourself,70
wise,70
learn,70
huge,70
closed,70
shut,70
dear,70
poor,70
wondered,70
leagues,70
watched,70
front,70
past,70
quick,69
dawn,69
rate,69
lead,69
k,69
listening,69
distance,69
deadly,69
haste,69
command,69
especially,68
choice,68
faded,68
rain,68
table,68
passage,68
sir,68
drawn,67
however,67
slope,67
spoken,67
several,67
dangerous,67
eastern,67
asleep,67
aid,67
gloom,67
thin,67
field,67
destroyed,67
Good,67
menor,67
Fangorn,67
ought,67
purpose,66
E,66
Maybe,66
Third,66
